Type,2021,2022,2023
Murders,451.0,481.0,369.0
Rapes,884.0,772.0,414.0
Robberies,2775.0,2635.0,1201.0
Assaults,15216.0,15979.0,6657.0
Burglaries,6657.0,7093.0,3550.0
Thefts,15136.0,16192.0,7959.0
Autothefts,13173.0,15887.0,7081.0
Arson,219.0,209.0,99.0
