,Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
442,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",91,59,80,62,95,85,83,233,264,0,0,0,0,0
443,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",489,229,318,289,291,277,238,254,304,0,0,0,0,0
444,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",549,386,507,447,534,500,382,548,567,0,0,0,0,0
445,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",2,1,1,1,1,1,1,1,1,0,0,0,0,0
446,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",5,3,4,4,4,4,4,4,4,0,0,0,0,0
447,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",2,1,1,1,1,1,1,956,989,0,0,0,0,0
448,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",0,0,0,0,0,69,56,61,77,0,0,0,0,0
449,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",632,406,521,471,507,464,440,538,553,0,0,0,0,0
450,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",0,4,0,0,0,0,3,1,0,0,0,0,0,0
451,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",48,41,62,42,38,53,55,25,0,0,0,0,0,0
452,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",63,78,76,62,37,53,75,27,0,0,0,0,0,0
453,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",299,291,293,315,271,269,216,158,0,0,0,0,0,0
454,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",550,800,683,527,505,607,494,209,0,0,0,0,0,0
455,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",4,3,3,3,3,3,2,1,0,0,0,0,0,0
456,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",196,199,156,157,194,203,174,99,0,0,0,0,0,0
457,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",23,26,20,21,14,26,19,12,0,0,0,0,0,0
458,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",381,375,365,333,308,335,314,162,0,0,0,0,0,0
459,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",0,0,0,1,1,1,0,2,0,0,1,0,0,0
460,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",7,12,12,9,12,9,9,8,7,9,18,13,17,12
461,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",14,10,21,12,12,6,11,6,11,7,9,12,4,11
462,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",68,64,56,44,44,43,38,40,56,55,63,84,66,80
463,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",196,182,122,158,113,95,106,84,97,92,145,100,69,99
464,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",1,951,838,756,867,777,716,638,679,740,698,672,606,646
465,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",156,104,69,85,106,97,76,92,113,95,99,79,86,158
466,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",14,12,5,4,8,14,1,1,3,1,1,2,0,3
467,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",199,182,156,144,154,132,121,115,121,119,144,130,113,131
468,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",1,3,0,2,1,1,3,0,1,2,2,1,1,0
469,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",19,28,34,25,22,26,43,32,43,35,40,37,26,11
470,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",22,21,23,35,28,24,27,21,26,24,36,18,20,4
471,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",187,220,206,184,183,211,182,152,186,126,165,115,107,66
472,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",432,468,417,589,503,503,437,381,261,431,429,360,260,79
473,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",1,1,1,2,2,1,1,1,1,1,1,1,978,415
474,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",104,89,80,106,129,123,134,86,113,133,140,122,61,22
475,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",32,37,36,23,22,21,17,17,8,10,17,16,11,6
476,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",420,470,425,496,460,457,463,348,402,385,428,351,278,117
477,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",20,23,35,25,27,15,28,25,28,0,0,0,0,0
478,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",91,59,80,62,95,85,83,233,264,0,0,0,0,0
479,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",489,229,318,289,291,277,238,254,304,0,0,0,0,0
480,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",549,386,507,447,534,500,382,548,567,0,0,0,0,0
481,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",2,1,1,1,1,1,1,1,1,0,0,0,0,0
482,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",5,3,4,4,4,4,4,4,4,0,0,0,0,0
483,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",2,1,1,1,1,1,1,956,989,0,0,0,0,0
484,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",0,0,0,0,0,69,56,61,77,0,0,0,0,0
485,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",632,406,521,471,507,464,440,538,553,0,0,0,0,0
486,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",0,4,0,0,0,0,3,1,0,0,0,0,0,0
487,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",48,41,62,42,38,53,55,25,0,0,0,0,0,0
488,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",63,78,76,62,37,53,75,27,0,0,0,0,0,0
489,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",299,291,293,315,271,269,216,158,0,0,0,0,0,0
490,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",550,800,683,527,505,607,494,209,0,0,0,0,0,0
491,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",4,3,3,3,3,3,2,1,0,0,0,0,0,0
492,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",196,199,156,157,194,203,174,99,0,0,0,0,0,0
493,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",23,26,20,21,14,26,19,12,0,0,0,0,0,0
494,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",381,375,365,333,308,335,314,162,0,0,0,0,0,0
495,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",0,0,0,1,1,1,0,2,0,0,1,0,0,0
496,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",7,12,12,9,12,9,9,8,7,9,18,13,17,12
497,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",14,10,21,12,12,6,11,6,11,7,9,12,4,11
498,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",68,64,56,44,44,43,38,40,56,55,63,84,66,80
499,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",196,182,122,158,113,95,106,84,97,92,145,100,69,99
500,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",1,951,838,756,867,777,716,638,679,740,698,672,606,646
501,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",156,104,69,85,106,97,76,92,113,95,99,79,86,158
502,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",14,12,5,4,8,14,1,1,3,1,1,2,0,3
503,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",199,182,156,144,154,132,121,115,121,119,144,130,113,131
504,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",1,3,0,2,1,1,3,0,1,2,2,1,1,0
505,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",19,28,34,25,22,26,43,32,43,35,40,37,26,11
506,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",22,21,23,35,28,24,27,21,26,24,36,18,20,4
507,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",187,220,206,184,183,211,182,152,186,126,165,115,107,66
508,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",432,468,417,589,503,503,437,381,261,431,429,360,260,79
509,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",1,1,1,2,2,1,1,1,1,1,1,1,978,415
510,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",104,89,80,106,129,123,134,86,113,133,140,122,61,22
511,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",32,37,36,23,22,21,17,17,8,10,17,16,11,6
512,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",420,470,425,496,460,457,463,348,402,385,428,351,278,117
513,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",20,23,35,25,27,15,28,25,28,0,0,0,0,0
514,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",91,59,80,62,95,85,83,233,264,0,0,0,0,0
515,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",489,229,318,289,291,277,238,254,304,0,0,0,0,0
516,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",549,386,507,447,534,500,382,548,567,0,0,0,0,0
517,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",2,1,1,1,1,1,1,1,1,0,0,0,0,0
518,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",5,3,4,4,4,4,4,4,4,0,0,0,0,0
519,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",2,1,1,1,1,1,1,956,989,0,0,0,0,0
520,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",0,0,0,0,0,69,56,61,77,0,0,0,0,0
521,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",632,406,521,471,507,464,440,538,553,0,0,0,0,0
522,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",0,4,0,0,0,0,3,1,0,0,0,0,0,0
523,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",48,41,62,42,38,53,55,25,0,0,0,0,0,0
524,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",63,78,76,62,37,53,75,27,0,0,0,0,0,0
525,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",299,291,293,315,271,269,216,158,0,0,0,0,0,0
526,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",550,800,683,527,505,607,494,209,0,0,0,0,0,0
527,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",4,3,3,3,3,3,2,1,0,0,0,0,0,0
528,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",196,199,156,157,194,203,174,99,0,0,0,0,0,0
529,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",23,26,20,21,14,26,19,12,0,0,0,0,0,0
530,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",381,375,365,333,308,335,314,162,0,0,0,0,0,0
531,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",0,0,0,1,1,1,0,2,0,0,1,0,0,0
532,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",7,12,12,9,12,9,9,8,7,9,18,13,17,12
533,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",14,10,21,12,12,6,11,6,11,7,9,12,4,11
534,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",68,64,56,44,44,43,38,40,56,55,63,84,66,80
535,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",196,182,122,158,113,95,106,84,97,92,145,100,69,99
536,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",1,951,838,756,867,777,716,638,679,740,698,672,606,646
537,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",156,104,69,85,106,97,76,92,113,95,99,79,86,158
538,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",14,12,5,4,8,14,1,1,3,1,1,2,0,3
539,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",199,182,156,144,154,132,121,115,121,119,144,130,113,131
540,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",2,2,0,4,6,0,2,0,3,1,2,2,4,2
541,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",37,62,48,41,48,38,37,37,36,45,71,80,78,46
542,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",39,35,44,28,20,24,23,15,23,31,33,26,35,22
543,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",555,514,172,143,152,129,123,49,115,145,149,197,174,285
544,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",346,247,321,243,259,315,217,199,190,178,165,147,126,155
545,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",2,2,2,1,1,1,1,1,1,1,1,1,1,1
546,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",116,99,162,142,171,177,179,159,199,160,152,171,192,235
547,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",17,19,23,19,19,16,19,0,10,2,9,7,9,11
548,"0         Murders(per 100,000)
1           Rapes(per 100,000)
2       Robberies(per 100,000)
3        Assaults(per 100,000)
4      Burglaries(per 100,000)
               ...            
4      Burglaries(per 100,000)
5          Thefts(p",247,232,167,145,149,139,129,94,120,127,138,147,135,137
